evidence_category,scenario,checker,status,first_mismatch
rtl_litmus_herd,WR:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR_FENCE:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,CO-RR:2,RTL+coherence_model+exact_herd7,PASS,none
