scenario,family,seed,operations,read_percent,conflict_percent,backpressure_percent,error_percent,reset_operation,reset_phase,strobe_profile,address_profile,address_base,address_span,realized_requested_ops,realized_reads,realized_writes,realized_conflicts,realized_injections,realized_error_responses,realized_resets,realized_full_strobes,realized_single_strobes,realized_partial_strobes,realized_bp_pct,realized_axi_stalls,realized_axi_valid,realized_addr_profile,realized_strobe_profile,mapped_test,trace,status
81,dirty_eviction,1899788834,50,25,75,50,0,-1,idle,single-byte,same-set,00004000,00010000,50,12,38,50,0,0,0,0,38,0,50,197,597,same-set,single-byte,random,build/verilator/traces/stress_081.csv,PASS
82,axi_backpressure,142454707,100,50,75,25,0,-1,idle,mixed,uniform,00004000,00010000,100,44,56,72,0,0,0,0,15,41,25,107,757,uniform,mixed,random,build/verilator/traces/stress_082.csv,PASS
83,reset_error,1466345902,50,50,75,25,1,10,idle,full,sequential,00004000,00010000,50,27,23,0,0,0,1,23,0,0,25,1,41,sequential,full,random,build/verilator/traces/stress_083.csv,PASS
84,cache_random,1407819859,50,75,0,75,0,-1,idle,single-byte,hot-set,00004000,00010000,50,41,9,0,0,0,0,0,9,0,75,36,176,hot-set,single-byte,random,build/verilator/traces/stress_084.csv,PASS
85,dirty_eviction,1164167166,100,25,75,50,0,-1,idle,mixed,same-set,00004000,00010000,100,24,76,100,0,0,0,0,22,54,50,395,1175,same-set,mixed,random,build/verilator/traces/stress_085.csv,PASS
86,axi_backpressure,1583478463,100,50,75,50,0,-1,idle,single-byte,hot-set,00004000,00010000,100,48,52,0,0,0,0,0,52,0,50,26,176,hot-set,single-byte,random,build/verilator/traces/stress_086.csv,PASS
87,reset_error,1785296608,50,75,0,50,0,10,idle,mixed,hot-set,00004000,00010000,50,34,16,0,0,0,1,0,5,11,50,40,210,hot-set,mixed,random,build/verilator/traces/stress_087.csv,PASS
88,cache_random,224927218,50,75,25,0,0,-1,idle,full,uniform,00004000,00010000,50,36,14,11,0,0,0,14,0,0,0,0,255,uniform,full,random,build/verilator/traces/stress_088.csv,PASS
89,dirty_eviction,583158370,200,25,75,75,0,-1,idle,full,same-set,00004000,00010000,200,51,149,200,0,0,0,149,0,0,75,2026,3516,same-set,full,random,build/verilator/traces/stress_089.csv,PASS
90,axi_backpressure,596446625,50,25,75,75,0,-1,idle,mixed,sequential,00004000,00010000,50,7,43,0,0,0,0,0,9,34,75,22,57,sequential,mixed,random,build/verilator/traces/stress_090.csv,PASS
91,reset_error,182767241,50,75,75,50,0,11,idle,single-byte,hot-set,00004000,00010000,50,41,9,0,0,0,1,0,9,0,50,41,206,hot-set,single-byte,random,build/verilator/traces/stress_091.csv,PASS
92,cache_random,1855273027,100,50,50,0,0,-1,idle,mixed,same-set,00004000,00010000,100,44,56,100,0,0,0,0,18,38,0,0,720,same-set,mixed,random,build/verilator/traces/stress_092.csv,PASS
93,dirty_eviction,1895024494,200,25,75,25,0,-1,idle,full,same-set,00004000,00010000,200,55,145,200,0,0,0,145,0,0,25,309,1879,same-set,full,random,build/verilator/traces/stress_093.csv,PASS
94,axi_backpressure,1936482738,200,75,50,75,0,-1,idle,mixed,same-set,00004000,00010000,200,156,44,200,0,0,0,0,14,30,75,881,1951,same-set,mixed,random,build/verilator/traces/stress_094.csv,PASS
95,reset_error,942766969,50,25,75,50,0,11,writeback,full,same-set,00004000,00010000,50,16,34,50,0,0,1,34,0,0,50,179,550,same-set,full,random,build/verilator/traces/stress_095.csv,PASS
96,cache_random,268259009,100,50,50,0,0,-1,idle,full,same-set,00004000,00010000,100,45,55,100,0,0,0,55,0,0,0,0,675,same-set,full,random,build/verilator/traces/stress_096.csv,PASS
97,dirty_eviction,1728098439,100,25,75,75,0,-1,idle,single-byte,same-set,00004000,00010000,100,21,79,100,0,0,0,0,79,0,75,1087,1857,same-set,single-byte,random,build/verilator/traces/stress_097.csv,PASS
98,axi_backpressure,1426892917,100,50,75,50,0,-1,idle,mixed,same-set,00004000,00010000,100,48,52,100,0,0,0,0,14,38,50,310,1015,same-set,mixed,random,build/verilator/traces/stress_098.csv,PASS
99,reset_error,33242875,100,50,50,25,5,43,refill,single-byte,sequential,00004000,00010000,100,38,62,0,5,1,1,0,62,0,25,3,84,sequential,single-byte,random,build/verilator/traces/stress_099.csv,PASS
